Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
a back board is present .,1,,,,,,,,,,,,,
a basal right chest tube is present .,1,,,,,,,,,,,,,1
a calcified granuloma is present in left lung apex .,,,,,,,,,,,,,,
a calcified granuloma is present in right upper lobe .,,,,,,,,,,,,,,
a calcified granuloma is present in the left lung apex .,,,,,,,,,,,,,,
a calcified granuloma is present in the left suprahilar region .,,,,,,,,,,,,,,
"a calcified granuloma is present in the left upper lobe , associated with calcifications in small regional left hilar lymph nodes .",,,,,,,,,,,,,,
a calcified granuloma is present in the right upper lobe .,,,,,,,,,,,,,,
a calcified granuloma may be present in the retrocardiac left lower lobe .,,,,,,,,,,,,,,
a calcified nodular opacity overlying the right hemidiaphragm may be a calcified pulmonary nodule .,,,,-1,1,,,,,,,,,
a catheter is present in right axillary vein .,1,,,,,,,,,,,,,1
a catheter is present in the basal left pleural space .,1,,,,,,,,,,,,,1
a catheter is present in the left hemithorax .,1,,,,,,,,,,,,,1
a catheter is present in the upper right arm .,1,,,,,,,,,,,,,1
a catheter is presumably located in the lateral-basal left pleural space .,1,,,,,,,,,,,,,1
a catheter projects over the upper thoracic spine .,1,,,,,,,,,,,,,1
a cavitary nodule is in the right upper lobe .,,,,1,,,,,,,,,,
a central venous catheter terminates in the upper third of svc .,1,,,,,,,,,,,,,1
a central venous catheter terminates in upper third of svc .,1,,,,,,,,,,,,,1
"a device , possibly a spinal stimulator device , projects over the mid thoracic spine .",1,,,,,,,,,,,,,1
a drainage catheter is present in the basal right pleural space .,1,,,,,,,,,,,,,1
a drainage tube is present in the right upper quadrant of abdomen .,1,,,,,,,,,,,,,1
a feeding tube is in the stomach .,1,,,,,,,,,,,,,1
a feeding tube traverses the esophagus into the stomach .,1,,,,,,,,,,,,,1
a feeding tube traverses the esophagus to the stomach .,1,,,,,,,,,,,,,1
a few calcified granulomas are possibly present in right lower lung .,,,,,,,,,,,,,,
"a few calcified pulmonary nodules are seen , compatible with old granulomatous disease .",,,,1,,,,,,,,,,
a few chronic fractures are seen in the right ribs .,,,,,,,,,,,,,1,
a few foci of subsegmental atelectasis are present in the left lower lung .,,,,,,,,,1,,,,,
a few healed rib fractures are noted .,,,,,,,,,,,,,1,
a few nodular opacities are seen .,,,,1,1,,,,,,,,,
a few nodular opacities are seen the right lung .,,,,1,1,,,,,,,,,
a few patchy bilateral pulmonary opacities .,,,,,1,,,,,,,,,
